Institution,Longitude,Latitude
Arkansas College of Barbering and Hair Design,-92.266429,34.753842999999996
Arthur's Beauty College Inc-Fort Smith,-94.410967,35.379954999999995
University of Arkansas,-94.17698100000001,36.070009000000006
University of Arkansas at Pine Bluff,-92.018683,34.244031
Arkansas State University-Beebe,-91.895351,35.074176
Arkansas State University-Main Campus,-90.679988,35.842388
Arkansas Tech University,-93.13561999999999,35.293237
University of Arkansas at Monticello,-91.811153,33.590909
Arthur's Beauty College Inc-Jacksonville,-92.102579,34.891572
Baptist Health College-Little Rock,-92.40692,34.713115
Black River Technical College,-90.951033,36.239793
University of Central Arkansas,-92.457672,35.077945
Central Baptist College,-92.445021,35.083838
Cossatot Community College of the University of Arkansas,-94.3673,34.043389000000005
Crowley's Ridge College,-90.584395,36.064845
Crowley's Ridge Technical Institute,-90.767321,35.039815999999995
East Arkansas Community College,-90.767726,35.041655
Eastern College of Health Vocations-Little Rock,-92.341891,34.75128
Imagine-Paul Mitchell Partner School,-92.222202,34.789913
National Park College,-93.119248,34.512687
University of Arkansas Community College-Batesville,-91.615852,35.792922999999995
Harding University,-91.72604100000001,35.247337
Henderson State University,-93.059703,34.128155
Hendrix College,-92.443256,35.101565
Hot Springs Beauty College,-93.037277,34.496057
Jefferson Regional Medical Center School of Nursing,-92.018045,34.187831
John Brown University,-94.560283,36.189811999999996
Career Academy of Hair Design,-94.12947,36.167605
Academy of Salon and Spa,-94.41615999999999,35.38097
Arkansas State University Mid-South,-90.22285,35.145736
Arkansas Northeastern College,-89.92100500000001,35.898596999999995
New Tyler Barber College Inc,-92.254171,34.760085
North Arkansas College,-93.08844,36.219909
Northwest Technical Institute,-94.115346,36.178032
Ouachita Baptist University,-93.052471,34.126093
College of the Ouachitas,-92.821416,34.378745
Ozarka College,-91.896355,36.053031
University of the Ozarks,-93.467221,35.476278
University of Arkansas Community College-Morrilton,-92.728507,35.172136
Philander Smith College,-92.283015,34.737131
Phillips Community College of the University of Arkansas,-90.616884,34.546155
Southeast Arkansas College,-92.025936,34.210309
Professional Cosmetology Education Center,-92.664101,33.216032
University of Arkansas-Pulaski Technical College,-92.299184,34.782783
University of Arkansas Community College-Hope,-93.596762,33.641665
University of Arkansas Community College Rich Mountain,-94.219799,34.591449
Paul Mitchell the School-Arkansas,-94.153892,36.126373
Searcy Beauty College,-91.735135,35.239148
Shorter College,-92.26133100000001,34.75933
Williams Baptist College,-90.94027700000001,36.125676
South Arkansas Community College,-92.666087,33.209446
Southern Arkansas University Main Campus,-93.235922,33.291618
Southern Arkansas University Tech,-92.72162900000001,33.628367
University of Arkansas System Office,-92.343714,34.775989
Velvatex College of Beauty Culture,-92.289597,34.735685
University of Arkansas-Fort Smith,-94.373729,35.384184000000005
Academy of Art University,-122.40068600000001,37.787748
ITT Technical Institute-Rancho Cordova,-121.281503,38.591726
Academy of Chinese Culture and Health Sciences,-122.26983899999999,37.805972
The Academy of Radio and TV Broadcasting,-117.98766599999999,33.728895
Avalon School of Cosmetology-Alameda,-122.24356599999999,37.764203
College of Alameda,-122.279303,37.781017
Allan Hancock College,-120.421144,34.943715999999995
American Academy of Dramatic Arts-Los Angeles,-118.343701,34.095378000000004
American Baptist Seminary of the West,-122.256149,37.865252000000005
American Film Institute Conservatory,-118.310018,34.10767
American Beauty College,-117.936959,34.069367
American Career College-Los Angeles,-118.29248100000001,34.079322999999995
American Conservatory Theater,-122.40475,37.787343
American River College,-121.34601200000002,38.649734
Antelope Valley College,-118.18616599999999,34.676207
Art Center College of Design,-118.185102,34.169031
Associated Technical College-Los Angeles,-118.27243,34.055987
Associated Technical College-San Diego,-117.15798799999999,32.715375
Azusa Pacific University,-117.888375,34.130047
Bakersfield College,-118.973753,35.40911
Barstow Community College,-117.02523000000001,34.871451
Bellus Academy-National City,-117.0897,32.67657
Bethesda University,-117.941323,33.842295
Biola University,-118.014374,33.906203000000005
Brownson Technical School,-117.905774,33.819032
Bryan University,-111.944197,33.437779
Butte College,-121.64483100000001,39.649782
Phillips Graduate University,-118.56768799999999,34.242
California Institute of Integral Studies,-122.416102,37.774924
Cabrillo College,-121.924797,36.989447999999996
California Baptist University,-117.425619,33.929321
California College of the Arts,-122.399451,37.767485
University of California-Hastings College of Law,-122.4157,37.781137
California Institute of Technology,-118.125878,34.137349
California Lutheran University,-118.878924,34.224565999999996
California Polytechnic State University-San Luis Obispo,-120.657311,35.299513
Alliant International University-San Diego,-117.094398,32.897056
California State University-Bakersfield,-119.10471100000001,35.350004999999996
California State University-Stanislaus,-120.852511,37.52577
California State University-Chancellors Office,-118.201255,33.764338
California State University-San Bernardino,-117.323801,34.182621999999995
California State Polytechnic University-Pomona,-117.819019,34.054272999999995
California State University-Chico,-121.84485900000001,39.729712
California State University-Dominguez Hills,-118.255917,33.864765999999996
California State University-Fresno,-119.748258,36.814477000000004
California State University-Fullerton,-117.885446,33.881506
California State University-East Bay,-122.058073,37.657070000000004
California State University-Long Beach,-118.11204,33.782818
California State University-Los Angeles,-118.16896499999999,34.066927
California State University-Northridge,-118.529319,34.240126000000004
California State University-Sacramento,-121.423549,38.559415
University of California-Berkeley,-122.26046299999999,37.871918
University of California-Davis,-121.749567,38.539667
University of California-Irvine,-117.841248,33.648434
University of California-Los Angeles,-118.443901,34.068892
University of California-Riverside,-117.32741000000001,33.97246
University of California-San Diego,-117.237793,32.876598
University of California-San Francisco,-122.458049,37.762736
University of California-Santa Barbara,-119.846426,34.416297
University of California-Santa Cruz,-122.058801,36.995584
Sofia University,-122.10866000000001,37.430325
California Beauty School,-120.99689,37.645216999999995
California Christian College,-119.711123,36.749365999999995
Le Cordon Bleu College of Culinary Arts-San Francisco,-122.40335,37.765544
California Hair Design Academy,-117.02426100000001,32.765221000000004
California Institute of the Arts,-118.566837,34.39327
California State University Maritime Academy,-122.231551,38.069061
California Western School of Law,-117.162416,32.722192
Canada College,-122.265398,37.44877
College of the Canyons,-118.569524,34.403121
Career Academy of Beauty,-118.031697,33.781017999999996
Casa Loma College-Van Nuys,-118.45778100000001,34.192828999999996
CET-San Diego,-117.105328,32.711302
CET-San Jose,-121.88698000000001,37.322722999999996
CET-El Centro,-115.549079,32.790908
CET-Colton,-117.35348799999998,34.077381
CET-Watsonville,-121.767991,36.931833000000005
CET-Salinas,-121.652791,36.671634999999995
Cerritos College,-118.09726299999998,33.88584
Cerro Coso Community College,-117.66767,35.567525
Chabot College,-122.10696899999999,37.642513
Chaffey College,-117.57393200000001,34.147663
Chapman University,-117.851481,33.793678
Charles R Drew University of Medicine and Science,-118.242791,33.925658
Concordia University-Irvine,-117.81230500000001,33.653665000000004
San Diego Christian College,-116.97811200000001,32.842403999999995
Church Divinity School of the Pacific,-122.261122,37.876184
Citrus College,-117.88526599999999,34.135487
Citrus Heights Beauty College,-121.289529,38.712951000000004
City College of San Francisco,-122.451155,37.725953000000004
Claremont Graduate University,-117.71370300000001,34.103584999999995
Claremont McKenna College,-117.71118799999999,34.102154
Milan Institute-Visalia,-119.312151,36.271640000000005
Clovis Adult Education,-119.69036899999999,36.834459
Coast Community College District Office,-117.91606599999999,33.674004
Coastline Community College,-117.929143,33.715634
Cogswell College,-121.94086999999999,37.414049
Coleman University,-117.13649299999999,32.821962
Coba Academy,-117.94310800000001,33.841141
Western University of Health Sciences,-117.74773200000001,34.058091999999995
Columbia College,-120.387603,38.030361
Columbia College Hollywood,-118.538793,34.17972
El Camino College-Compton Center,-118.20918600000002,33.876665
Contra Costa Community College District Office,-122.134774,38.018943
Contra Costa College,-122.337377,37.969381
Cosumnes River College,-121.42310800000001,38.45295
Crafton Hills College,-117.101173,34.039178
Cuesta College,-120.74223500000001,35.331276
Cuyamaca College,-116.94350700000001,32.744954
Cypress College,-118.02388899999998,33.827625
De Anza College,-122.04536499999999,37.319176
International School of Beauty Inc,-116.40392800000001,33.729555
Dell'Arte International School of Physical Theatre,-123.988808,40.880924
College of the Desert,-116.38761000000001,33.732484
Design Institute of San Diego,-117.167374,32.880926
Diablo Valley College,-122.06986100000002,37.968035
Dominican University of California,-122.51465400000001,37.980014000000004
Dominican School of Philosophy & Theology,-122.26461200000001,37.881099
East Los Angeles College,-118.148785,34.040531
El Camino Community College District,-118.32991299999999,33.885228999999995
Elegance International,-118.33811100000001,34.098445
Emperor's College of Traditional Oriental Medicine,-118.485119,34.030438000000004
Empire College,-122.72933700000002,38.468052
Evergreen Valley College,-121.76561000000001,37.30167
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,-118.25993000000001,34.044209
FIDM-Fashion Institute of Design & Merchandising-San Francisco,-122.406503,37.786324
FIDM-Fashion Institute of Design & Merchandising-Orange County,-117.852254,33.691963
Feather River Community College District,-120.970877,39.952395
Federico Beauty Institute,-121.49776100000001,38.64883
Fielding Graduate University,-119.717161,34.42941
Five Branches University,-121.998245,36.964348
Hair California Beauty Academy,-117.836692,33.805786
Redondo Beach Beauty College,-118.37213700000001,33.873098
Foothill College,-122.12796399999999,37.361655
Franciscan School of Theology,-117.320066,33.232416
Fredrick and Charles Beauty College,-124.16498600000001,40.798885
Fresno City College,-119.79609599999999,36.768164
Fresno Pacific University,-119.735199,36.726831
Foothill-De Anza Community College District,-122.127054,37.360960999999996
Fuller Theological Seminary,-118.14026100000001,34.14778
Fullerton College,-117.918255,33.875514
Gavilan College,-121.568174,36.973273999999996
Gemological Institute of America-Carlsbad,-117.31876499999998,33.131313
Glendale Community College,-118.228251,34.166422
Glendale Career College,-118.254719,34.149771
Golden Gate University-San Francisco,-122.398785,37.789208
Golden West College,-118.00303600000001,33.733775
Graduate Theological Union,-122.261847,37.87554
Grossmont-Cuyamaca Community College District,-117.00729199999999,32.816054
Grossmont College,-117.00729199999999,32.816077
Salon Success Academy-Riverside,-117.391024,33.943149
Hartnell College,-121.666054,36.675090999999995
Harvey Mudd College,-117.70983700000001,34.106515
Hilltop Beauty School,-122.461467,37.705502
Holy Names University,-122.187804,37.802276
Pacifica Graduate Institute,-119.58041399999999,34.420881
Humboldt State University,-124.07829299999999,40.877481
Humphreys University-Stockton and Modesto Campuses,-121.316401,38.011051
Imperial Valley College,-115.50390300000001,32.827563
